No.Manifiesto,GrupoCliente,CodCliente,NomCliente,FechDocumento,DocTotal,NumLinea,ItemCode,Dscription,Cantidad,Precio,Subtotal,SubTotal09,Peso,Ciudad,TipoCliente
40116370,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,3/10/2017 00:00,68.21,0,0201460005,Objetos cortopunzantes que han sido utilizados en la atencion de seres humanos o animales,0.4,2.1,0.84,0.84,0.4,GUAYAQUIL,TPP
40116370,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,3/10/2017 00:00,68.21,1,0201460007,Material e insumos que han sido utilizados para procedimientos medicos y que han estado en contacto,28.6,2.1,60.06,60.06,28.6,GUAYAQUIL,TPP
40118083,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,16/10/2017 00:00,14.82,1,0201460007,Material e insumos que han sido utilizados para procedimientos medicos y que han estado en contacto,2.2,2.1,4.62,4.62,2.2,GUAYAQUIL,TPP
40118083,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,16/10/2017 00:00,14.82,0,0201460005,Objetos cortopunzantes que han sido utilizados en la atencion de seres humanos o animales,4.1,2.1,8.61,8.61,4.1,GUAYAQUIL,TPP
40118292,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,17/10/2017 00:00,86.55,1,0201460007,Material e insumos que han sido utilizados para procedimientos medicos y que han estado en contacto,36.8,2.1,77.28,77.28,36.8,GUAYAQUIL,TPP
40120593,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,1/11/2017 00:00,59.74,0,0201460005,Objetos cortopunzantes que han sido utilizados en la atencion de seres humanos o animales,0.9,2.1,1.89,1.89,0.9,GUAYAQUIL,TPP
40120593,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,1/11/2017 00:00,59.74,1,0201460007,Material e insumos que han sido utilizados para procedimientos medicos y que han estado en contacto,24.5,2.1,51.45,51.45,24.5,GUAYAQUIL,TPP
40120888,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,6/11/2017 00:00,32.93,0,0201460005,Objetos cortopunzantes que han sido utilizados en la atencion de seres humanos o animales,12.9,2.1,27.09,27.09,12.9,GUAYAQUIL,TPP
40120888,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,6/11/2017 00:00,32.93,1,0201460007,Material e insumos que han sido utilizados para procedimientos medicos y que han estado en contacto,1.1,2.1,2.31,2.31,1.1,GUAYAQUIL,TPP
40122048,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,13/11/2017 00:00,9.88,0,0201460005,Objetos cortopunzantes que han sido utilizados en la atencion de seres humanos o animales,3,2.1,6.3,6.3,3,GUAYAQUIL,TPP
40122048,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,13/11/2017 00:00,9.88,1,0201460007,Material e insumos que han sido utilizados para procedimientos medicos y que han estado en contacto,1.2,2.1,2.52,2.52,1.2,GUAYAQUIL,TPP
40122462,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,15/11/2017 00:00,25.64,1,0201460007,Material e insumos que han sido utilizados para procedimientos medicos y que han estado en contacto,10.9,2.1,22.89,22.89,10.9,GUAYAQUIL,TPP
40124927,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,1/12/2017 00:00,23.76,0,0201460005,Objetos cortopunzantes que han sido utilizados en la atencion de seres humanos o animales,0.9,2.1,1.89,1.89,0.9,GUAYAQUIL,TPP
40124927,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,1/12/2017 00:00,23.76,1,0201460007,Material e insumos que han sido utilizados para procedimientos medicos y que han estado en contacto,9.2,2.1,19.32,19.32,9.2,GUAYAQUIL,TPP
40125104,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,4/12/2017 00:00,8.7,0,0201460005,Objetos cortopunzantes que han sido utilizados en la atencion de seres humanos o animales,2.2,2.1,4.62,4.62,2.2,GUAYAQUIL,TPP
40125104,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,4/12/2017 00:00,8.7,1,0201460007,Material e insumos que han sido utilizados para procedimientos medicos y que han estado en contacto,1.5,2.1,3.15,3.15,1.5,GUAYAQUIL,TPP
40126118,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,11/12/2017 00:00,12.23,0,0201460005,Objetos cortopunzantes que han sido utilizados en la atencion de seres humanos o animales,3.2,2.1,6.72,6.72,3.2,GUAYAQUIL,TPP
40126118,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,11/12/2017 00:00,12.23,1,0201460007,Material e insumos que han sido utilizados para procedimientos medicos y que han estado en contacto,2,2.1,4.2,4.2,2,GUAYAQUIL,TPP
40126935,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,15/12/2017 00:00,22.11,1,0201460007,Material e insumos que han sido utilizados para procedimientos medicos y que han estado en contacto,9.4,2.1,19.74,19.74,9.4,GUAYAQUIL,TPP
40129739,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,3/1/2018 00:00,27.75,1,0201460007,Material e insumos que han sido utilizados para procedimientos medicos y que han estado en contacto,11.8,2.1,24.78,24.78,11.8,GUAYAQUIL,TPP
40130267,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,8/1/2018 00:00,4,1,0201460007,Material e insumos que han sido utilizados para procedimientos medicos y que han estado en contacto,0.7,2.1,1.47,1.47,0.7,GUAYAQUIL,TPP
40130267,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,8/1/2018 00:00,4,0,0201460005,Objetos cortopunzantes que han sido utilizados en la atencion de seres humanos o animales,1,2.1,2.1,2.1,1,GUAYAQUIL,TPP
40131862,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,17/1/2018 00:00,36.22,1,0201460007,Material e insumos que han sido utilizados para procedimientos medicos y que han estado en contacto,15.4,2.1,32.34,32.34,15.4,GUAYAQUIL,TPP
40133632,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,29/1/2018 00:00,8.47,0,0201460005,Objetos cortopunzantes que han sido utilizados en la atencion de seres humanos o animales,2.8,2.1,5.88,5.88,2.8,GUAYAQUIL,TPP
40133632,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,29/1/2018 00:00,8.47,1,0201460007,Material e insumos que han sido utilizados para procedimientos medicos y que han estado en contacto,0.8,2.1,1.68,1.68,0.8,GUAYAQUIL,TPP
40134256,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,1/2/2018 00:00,41.16,1,0201460007,Material e insumos que han sido utilizados para procedimientos medicos y que han estado en contacto,17.5,2.1,36.75,36.75,17.5,GUAYAQUIL,TPP
40134705,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,5/2/2018 00:00,12.7,0,0201460005,Objetos cortopunzantes que han sido utilizados en la atencion de seres humanos o animales,3.6,2.1,7.56,7.56,3.6,GUAYAQUIL,TPP
40134705,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,5/2/2018 00:00,12.7,1,0201460007,Material e insumos que han sido utilizados para procedimientos medicos y que han estado en contacto,1.8,2.1,3.78,3.78,1.8,GUAYAQUIL,TPP
40136155,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,15/2/2018 00:00,38.81,0,0201460007,Material e insumos que han sido utilizados para procedimientos medicos y que han estado en contacto,16.5,2.1,34.65,34.65,16.5,GUAYAQUIL,TPP
40137825,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,26/2/2018 00:00,5.88,0,0201460005,Objetos cortopunzantes que han sido utilizados en la atencion de seres humanos o animales,1.8,2.1,3.78,3.78,1.8,GUAYAQUIL,TPP
40137825,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,26/2/2018 00:00,5.88,1,0201460007,Material e insumos que han sido utilizados para procedimientos medicos y que han estado en contacto,0.7,2.1,1.47,1.47,0.7,GUAYAQUIL,TPP
40138448,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,1/3/2018 00:00,95.73,1,0201460007,Material e insumos que han sido utilizados para procedimientos medicos y que han estado en contacto,40.7,2.1,85.47,85.47,40.7,GUAYAQUIL,TPP
40138920,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,5/3/2018 00:00,17.64,0,0201460005,Objetos cortopunzantes que han sido utilizados en la atencion de seres humanos o animales,5.3,2.1,11.13,11.13,5.3,GUAYAQUIL,TPP
40138920,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,5/3/2018 00:00,17.64,1,0201460007,Material e insumos que han sido utilizados para procedimientos medicos y que han estado en contacto,2.2,2.1,4.62,4.62,2.2,GUAYAQUIL,TPP
40140690,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,15/3/2018 00:00,75.97,1,0201460007,Material e insumos que han sido utilizados para procedimientos medicos y que han estado en contacto,32.3,2.1,67.83,67.83,32.3,GUAYAQUIL,TPP
40142131,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,26/3/2018 00:00,12.7,1,0201460007,Material e insumos que han sido utilizados para procedimientos medicos y que han estado en contacto,1.1,2.1,2.31,2.31,1.1,GUAYAQUIL,TPP
40142131,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,26/3/2018 00:00,12.7,0,0201460005,Objetos cortopunzantes que han sido utilizados en la atencion de seres humanos o animales,4.3,2.1,9.03,9.03,4.3,GUAYAQUIL,TPP
40143161,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,2/4/2018 00:00,19.52,0,0201460005,Objetos cortopunzantes que han sido utilizados en la atencion de seres humanos o animales,5.8,2.1,12.18,12.18,5.8,GUAYAQUIL,TPP
40143161,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,2/4/2018 00:00,19.52,1,0201460007,Material e insumos que han sido utilizados para procedimientos medicos y que han estado en contacto,2.5,2.1,5.25,5.25,2.5,GUAYAQUIL,TPP
40143436,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,3/4/2018 00:00,59.51,1,0201460007,Material e insumos que han sido utilizados para procedimientos medicos y que han estado en contacto,25.3,2.1,53.13,53.13,25.3,GUAYAQUIL,TPP
40145843,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,17/4/2018 00:00,66.09,0,0201460005,Objetos cortopunzantes que han sido utilizados en la atencion de seres humanos o animales,1.9,2.1,3.99,3.99,1.9,GUAYAQUIL,TPP
40145843,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,17/4/2018 00:00,66.09,1,0201460007,Material e insumos que han sido utilizados para procedimientos medicos y que han estado en contacto,26.2,2.1,55.02,55.02,26.2,GUAYAQUIL,TPP
40146708,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,23/4/2018 00:00,10.35,0,0201460005,Objetos cortopunzantes que han sido utilizados en la atencion de seres humanos o animales,3.8,2.1,7.98,7.98,3.8,GUAYAQUIL,TPP
40146708,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,23/4/2018 00:00,10.35,1,0201460007,Material e insumos que han sido utilizados para procedimientos medicos y que han estado en contacto,0.6,2.1,1.26,1.26,0.6,GUAYAQUIL,TPP
40148024,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,2/5/2018 00:00,79.03,0,0201460005,Objetos cortopunzantes que han sido utilizados en la atencion de seres humanos o animales,1.5,2.1,3.15,3.15,1.5,GUAYAQUIL,TPP
40148024,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,2/5/2018 00:00,79.03,1,0201460007,Material e insumos que han sido utilizados para procedimientos medicos y que han estado en contacto,32.1,2.1,67.41,67.41,32.1,GUAYAQUIL,TPP
40147980,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,2/5/2018 00:00,22.11,1,0201460007,Material e insumos que han sido utilizados para procedimientos medicos y que han estado en contacto,1.7,2.1,3.57,3.57,1.7,GUAYAQUIL,TPP
40147980,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,2/5/2018 00:00,22.11,0,0201460005,Objetos cortopunzantes que han sido utilizados en la atencion de seres humanos o animales,7.7,2.1,16.17,16.17,7.7,GUAYAQUIL,TPP
40150661,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,16/5/2018 00:00,83.03,1,0201460007,Material e insumos que han sido utilizados para procedimientos medicos y que han estado en contacto,35.3,2.1,74.13,74.13,35.3,GUAYAQUIL,TPP
40151332,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,21/5/2018 00:00,17.64,0,0201460005,Objetos cortopunzantes que han sido utilizados en la atencion de seres humanos o animales,6.3,2.1,13.23,13.23,6.3,GUAYAQUIL,TPP
40151332,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,21/5/2018 00:00,17.64,1,0201460007,Material e insumos que han sido utilizados para procedimientos medicos y que han estado en contacto,1.2,2.1,2.52,2.52,1.2,GUAYAQUIL,TPP
40152375,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,28/5/2018 00:00,14.11,0,0201460005,Objetos cortopunzantes que han sido utilizados en la atencion de seres humanos o animales,4.7,2.1,9.87,9.87,4.7,GUAYAQUIL,TPP
40152375,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,28/5/2018 00:00,14.11,1,0201460007,Material e insumos que han sido utilizados para procedimientos medicos y que han estado en contacto,1.3,2.1,2.73,2.73,1.3,GUAYAQUIL,TPP
40153302,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,1/6/2018 00:00,121.13,0,0201460005,Objetos cortopunzantes que han sido utilizados en la atencion de seres humanos o animales,1.8,2.1,3.78,3.78,1.8,GUAYAQUIL,TPP
40153302,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,1/6/2018 00:00,121.13,1,0201460007,Material e insumos que han sido utilizados para procedimientos medicos y que han estado en contacto,49.7,2.1,104.37,104.37,49.7,GUAYAQUIL,TPP
40155831,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,15/6/2018 00:00,58.56,1,0201460007,Material e insumos que han sido utilizados para procedimientos medicos y que han estado en contacto,24.9,2.1,52.29,52.29,24.9,GUAYAQUIL,TPP
40156069,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,18/6/2018 00:00,8.23,0,0201460005,Objetos cortopunzantes que han sido utilizados en la atencion de seres humanos o animales,2.8,2.1,5.88,5.88,2.8,GUAYAQUIL,TPP
40156069,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,18/6/2018 00:00,8.23,1,0201460007,Material e insumos que han sido utilizados para procedimientos medicos y que han estado en contacto,0.7,2.1,1.47,1.47,0.7,GUAYAQUIL,TPP
40157244,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,25/6/2018 00:00,11.76,0,0201460005,Objetos cortopunzantes que han sido utilizados en la atencion de seres humanos o animales,3.8,2.1,7.98,7.98,3.8,GUAYAQUIL,TPP
40157244,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,25/6/2018 00:00,11.76,1,0201460007,Material e insumos que han sido utilizados para procedimientos medicos y que han estado en contacto,1.2,2.1,2.52,2.52,1.2,GUAYAQUIL,TPP
40158666,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,3/7/2018 00:00,55.04,1,0201460007,Material e insumos que han sido utilizados para procedimientos medicos y que han estado en contacto,23.4,2.1,49.14,49.14,23.4,GUAYAQUIL,TPP
40160823,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,16/7/2018 00:00,15.76,0,0201460005,Objetos cortopunzantes que han sido utilizados en la atencion de seres humanos o animales,5.9,2.1,12.39,12.39,5.9,GUAYAQUIL,TPP
40160823,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,16/7/2018 00:00,15.76,1,0201460007,Material e insumos que han sido utilizados para procedimientos medicos y que han estado en contacto,0.8,2.1,1.68,1.68,0.8,GUAYAQUIL,TPP
40161037,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,17/7/2018 00:00,79.26,1,0201460007,Material e insumos que han sido utilizados para procedimientos medicos y que han estado en contacto,33.7,2.1,70.77,70.77,33.7,GUAYAQUIL,TPP
40162019,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,23/7/2018 00:00,14.82,0,0201460005,Objetos cortopunzantes que han sido utilizados en la atencion de seres humanos o animales,4.9,2.1,10.29,10.29,4.9,GUAYAQUIL,TPP
40162019,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,23/7/2018 00:00,14.82,1,0201460007,Material e insumos que han sido utilizados para procedimientos medicos y que han estado en contacto,1.4,2.1,2.94,2.94,1.4,GUAYAQUIL,TPP
40163616,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,1/8/2018 00:00,129.12,1,0201460007,Material e insumos que han sido utilizados para procedimientos medicos y que han estado en contacto,54.9,2.1,115.29,115.29,54.9,GUAYAQUIL,TPP
40165407,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,13/8/2018 00:00,45.39,0,0201460005,Objetos cortopunzantes que han sido utilizados en la atencion de seres humanos o animales,16.6,2.1,34.86,34.86,16.6,GUAYAQUIL,TPP
40165407,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,13/8/2018 00:00,45.39,1,0201460007,Material e insumos que han sido utilizados para procedimientos medicos y que han estado en contacto,2.7,2.1,5.67,5.67,2.7,GUAYAQUIL,TPP
40165907,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,15/8/2018 00:00,86.55,0,0201460005,Objetos cortopunzantes que han sido utilizados en la atencion de seres humanos o animales,2,2.1,4.2,4.2,2,GUAYAQUIL,TPP
40165907,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,15/8/2018 00:00,86.55,1,0201460007,Material e insumos que han sido utilizados para procedimientos medicos y que han estado en contacto,34.8,2.1,73.08,73.08,34.8,GUAYAQUIL,TPP
40166683,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,20/8/2018 00:00,8.23,0,0201460005,Objetos cortopunzantes que han sido utilizados en la atencion de seres humanos o animales,3.5,2.1,7.35,7.35,3.5,GUAYAQUIL,TPP
40169434,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,4/9/2018 00:00,101.14,1,0201460007,Material e insumos que han sido utilizados para procedimientos medicos y que han estado en contacto,43,2.1,90.3,90.3,43,GUAYAQUIL,TPP
40170402,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,10/9/2018 00:00,11.05,0,0201460005,Objetos cortopunzantes que han sido utilizados en la atencion de seres humanos o animales,3.2,2.1,6.72,6.72,3.2,GUAYAQUIL,TPP
40170402,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,10/9/2018 00:00,11.05,1,0201460007,Material e insumos que han sido utilizados para procedimientos medicos y que han estado en contacto,1.5,2.1,3.15,3.15,1.5,GUAYAQUIL,TPP
40171603,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,17/9/2018 00:00,22.11,0,0201460005,Objetos cortopunzantes que han sido utilizados en la atencion de seres humanos o animales,6.6,2.1,13.86,13.86,6.6,GUAYAQUIL,TPP
40171603,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,17/9/2018 00:00,22.11,1,0201460007,Material e insumos que han sido utilizados para procedimientos medicos y que han estado en contacto,2.8,2.1,5.88,5.88,2.8,GUAYAQUIL,TPP
40171831,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,18/9/2018 00:00,93.14,1,0201460007,Material e insumos que han sido utilizados para procedimientos medicos y que han estado en contacto,38.3,2.1,80.43,80.43,38.3,GUAYAQUIL,TPP
40171831,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,18/9/2018 00:00,93.14,0,0201460005,Objetos cortopunzantes que han sido utilizados en la atencion de seres humanos o animales,1.3,2.1,2.73,2.73,1.3,GUAYAQUIL,TPP
40175620,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,10/10/2018 00:00,3.29,0,0201460007,Material e insumos que han sido utilizados para procedimientos medicos y que han estado en contacto,1.4,2.1,2.94,2.94,1.4,GUAYAQUIL,TPP
40176433,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,15/10/2018 00:00,12.94,0,0201460005,Objetos cortopunzantes que han sido utilizados en la atencion de seres humanos o animales,3.2,2.1,6.72,6.72,3.2,GUAYAQUIL,TPP
